Year,Make,Model,Trim,Body,Cab Type,Truck Bed Size,Exterior Condition,Interior Condition,Drive Type,Dealer License,Stock Number,Transmission,Liters,Cylinders,Fuel Type,Number of Doors,Number of Seat Belts,Mileage,VIN,Title Type,Exterior Color,Interior Color,Price,Views
2004,Toyota,Tacoma,V6,Truck,Extended Cab,Standard Shortbed,Fair,Fair,4-Wheel Drive,Not Specified,Not Specified,Automatic,3.4L,6,Gasoline,2,5,259464,5TEWN72N24Z453197,Clean Title,Black,Gray,6000,421
2016,Toyota,Prius,Not Specified,Coupe,Not Specified,Not Specified,Very Good,Very Good,Not Specified,Not Specified,Not Specified,CVT,Not Specified,4,Gasoline,4,Not Specified,200420,JTDKBRFU3G3014324,Clean Title,White,Gray,9260,108
1989,Toyota,Pickup,Base,Truck,Regular Cab,Not Specified,Good,Good,4-Wheel Drive,Not Specified,Not Specified,Manual,2.4L,4,Gasoline,2,3,205074,JT4RN01P2K4010738,Clean Title,Black,Gray,7000,750
2013,Toyota,RAV4 EV,Not Specified,SUV,Not Specified,Not Specified,Very Good,Very Good,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,57026,2T3YL4DV9DW002127,Clean Title,Blue,Gray,12900,236
2007,Toyota,4Runner,Limited,Sport Utility,Not Specified,Not Specified,Very Good,Very Good,4-Wheel Drive,Not Specified,Not Specified,Automatic,4.0L,6,Gasoline,4,5,205000,JTEBU17R278100678,Clean Title,Black,Gray,12000,0
2021,Toyota,Corolla Hybrid,Not Specified,Compact,Not Specified,Not Specified,Good,Good,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Gasoline,4,Not Specified,112623,JTDEAMDE5MJ005114,Clean Title,Red,Black,18000,42
2005,Toyota,Corolla,CE,Sedan,Not Specified,Not Specified,Good,Good,FWD,Not Specified,Not Specified,Automatic,Not Specified,4,Gasoline,4,Not Specified,230096,1NXBR32E85Z485380,Clean Title,Silver,Gray,3000,568
1995,Toyota,4Runner,SR5,SUV,Not Specified,Not Specified,Fair,Fair,4-Wheel Drive,Not Specified,Not Specified,Automatic,4.0L,6,Gasoline,4,Not Specified,274000,JT3VN39W3S0214682,Clean Title,Green,Gray,950,1502
1992,Toyota,Land Cruiser,Not Specified,SUV,Not Specified,Not Specified,Good,Good,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,6,Not Specified,4,Not Specified,264000,JT3FJ80W4N0049515,Clean Title,White,Gray,11500,965
2002,Toyota,Tundra,SR5,Truck,Not Specified,Not Specified,Good,Very Good,RWD,Not Specified,Not Specified,Automatic,3.4L,6,Gasoline,4,Not Specified,184323,5TBRN34172S312712,Clean Title,Red,Tan,9000,432
2007,Toyota,Prius,Base,Hatchback,Not Specified,Not Specified,Fair,Fair,FWD,Not Specified,Not Specified,Not Specified,1.5L,4,Hybrid,4,Not Specified,177800,JTDKB20U573260145,Clean Title,Gray,Gray,4500,372
2017,Toyota,Camry,Not Specified,Sedan,Not Specified,Not Specified,Very Good,Very Good,FWD,Not Specified,Not Specified,Automatic,2.5L,4,Not Specified,4,Not Specified,52000,4T1BF1FK2HU450416,Rebuilt/Reconstructed Title,Gray,Gray,11700,795
2010,Toyota,Corolla,S,Sedan,Not Specified,Not Specified,Very Good,Very Good,2-Wheel Drive,Not Specified,Not Specified,Automatic,1.8L,4,Gasoline,4,Not Specified,205253,1NXBU4EE1AZ280297,Clean Title,Red,Black,5900,160
2007,Toyota,Sequoia,SR5,SUV,Not Specified,Not Specified,Good,Good,4-Wheel Drive,Not Specified,Not Specified,Not Specified,Not Specified,8,Gasoline,4,Not Specified,240000,5TDBT44A87S282079,Clean Title,Green,Tan,7900,85
2016,Toyota,Highlander,Limited,SUV,Not Specified,Not Specified,Not Specified,Not Specified,AWD,Not Specified,Not Specified,Automatic,Not Specified,6,Gasoline,Not Specified,Not Specified,104271,5TDDKRFH0GS305745,Clean Title,Gray,Black,20500,126
2008,Toyota,Avalon,Not Specified,SUV,Not Specified,Not Specified,Poor,Good,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,4,Not Specified,183868,4T1BK36B68U256981,Salvage Title,Gray,Beige,3000,254
2021,Toyota,RAV4,XLE,SUV,Not Specified,Not Specified,Very Good,Excellent,4-Wheel Drive,Not Specified,Not Specified,Automatic,2.5L,4,Gasoline,4,Not Specified,35653,2T3P1RFV1MC143416,Clean Title,Gray,Gray,28995,80
2010,Toyota,Corolla,S,Sedan,Not Specified,Not Specified,Excellent,Excellent,FWD,Not Specified,Not Specified,Not Specified,Not Specified,4,Gasoline,4,Not Specified,68200,2T1BU4EE3AC470877,Salvage Title,Gray,Black,9000,512
2009,Toyota,Prius,Base,Compact,Not Specified,Not Specified,Very Good,Very Good,FWD,Not Specified,Not Specified,Automatic,1.5L,4,Hybrid,4,Not Specified,175000,JTDKB20U497836318,Rebuilt/Reconstructed Title,Silver,Gray,4999,66
2017,Toyota,Tacoma,SR5 V6,Truck,Crew Cab,Shortbed,Excellent,Excellent,2-Wheel Drive,Not Specified,Not Specified,Automatic,3.5L,6,Gasoline,4,5,43875,3TMAZ5CN9HM034655,Clean Title,Blue,Gray,26500,783
2007,Toyota,FJ Cruiser,Base,SUV,Not Specified,Not Specified,Very Good,Very Good,4-Wheel Drive,Not Specified,Not Specified,Automatic,4.0L,6,Gasoline,4,5,84907,JTEBU11F970063948,Clean Title,Blue,Black,26000,271
2013,Toyota,Tacoma,V6,Truck,Regular Cab,Longbed,Very Good,Very Good,4-Wheel Drive,Not Specified,Not Specified,Manual,4.0L,6,Gasoline,4,4,198425,5TFUU4EN0DX059080,Clean Title,Other,Gray,18000,146
1988,Toyota,Pickup,Base,Truck,Not Specified,Not Specified,Good,Good,4-Wheel Drive,Not Specified,Not Specified,Manual,2.4L,4,Gasoline,2,Not Specified,85800,JT4RN63A4J0207153,Rebuilt/Reconstructed Title,Blue,Blue,10000,449
2023,Toyota,Tacoma,TRD Off-Road,Truck,Not Specified,Not Specified,Excellent,Excellent,4-Wheel Drive,Not Specified,Not Specified,Automanual,Not Specified,6,Gasoline,Not Specified,Not Specified,3000,3TMCZ5AN5PM604810,Clean Title,White,Gray,45199,92
2004,Toyota,Tundra,CrewMax SR5,Truck,Not Specified,Not Specified,Very Good,Very Good,4-Wheel Drive,Not Specified,Not Specified,Automatic,4.7L,Not Specified,Gasoline,4,Not Specified,168000,5TBDT44184S447397,Clean Title,White,Creme,18000,1040
2008,Toyota,Camry,XLE,Sedan,Not Specified,Not Specified,Fair,Good,FWD,Not Specified,Not Specified,Automatic,Not Specified,4,Gasoline,4,Not Specified,192407,4T1BE46K88U252959,Clean Title,Beige,Beige,4250,796
2019,Toyota,Sequoia,SR5,SUV,Not Specified,Not Specified,Very Good,Excellent,4-Wheel Drive,Not Specified,Not Specified,Not Specified,Not Specified,8,Gasoline,Not Specified,Not Specified,50225,5TDBY5G11KS166590,Clean Title,Black,Beige,41995,229
1996,Toyota,Tacoma,SR V6,Truck,Not Specified,Not Specified,Not Specified,Not Specified,4-Wheel Drive,Not Specified,Not Specified,Manual,3.4L,6,Not Specified,2,Not Specified,205300,4taWN72N5TZ115380,Clean Title,Not Specified,Not Specified,7000,357
2007,Toyota,RAV4,Sport,SUV,Not Specified,Not Specified,Good,Very Good,4-Wheel Drive,Not Specified,Not Specified,Automatic,3.5L,6,Gasoline,4,5,165000,JTMBK32V975021195,Clean Title,Silver,Black,8500,785
2010,Toyota,Tacoma,SR5 V6,Truck,Not Specified,Not Specified,Good,Very Good,Not Specified,Not Specified,Not Specified,Automatic,Not Specified,6,Gasoline,4,Not Specified,151110,5TEMU4FN1AZ700949,Clean Title,White,Gray,16200,595
2008,Toyota,Matrix,XR,Hatchback,Not Specified,Not Specified,Good,Excellent,2-Wheel Drive,Not Specified,Not Specified,Automatic,1.8L,4,Gasoline,4,Not Specified,216000,2T1KR32E18C694658,Clean Title,Gray,Black,3495,606
2016,Toyota,Tacoma,TRD Off-Road,Truck,Extended Cab,Standard Shortbed,Very Good,Very Good,4-Wheel Drive,Not Specified,Not Specified,Automanual,3.5L,6,Gasoline,4,4,105000,5TFSZ5AN8GX030628,Clean Title,White,Gray,25000,191
2015,Toyota,Sienna,LE 8-Passenger,Minivan,Not Specified,Not Specified,Very Good,Very Good,FWD,Not Specified,Not Specified,Not Specified,3.5L,6,Gasoline,4,8,88000,5TDKK3DC6FS558031,Clean Title,Silver,Gray,14999,491
2006,Toyota,Prius,Base,Hatchback,Not Specified,Not Specified,Fair,Good,FWD,Not Specified,Not Specified,Not Specified,1.5L,4,Hybrid,4,5,210000,JTDKB20U563158410,Clean Title,Red,Gray,3199,252
2008,Toyota,Tacoma,SR5,Truck,Not Specified,Not Specified,Very Good,Good,4-Wheel Drive,Not Specified,Not Specified,Manual,2.7L,4,Gasoline,2,Not Specified,159000,5TEPX42Nx8Z496933,Clean Title,Silver,Gray,14500,613
2014,Toyota,Sienna,LE 8-Passenger,Minivan,Not Specified,Not Specified,Good,Good,FWD,Not Specified,Not Specified,Automatic,3.5L,6,Gasoline,4,8,140000,5TDKK3DC9ES448119,Clean Title,Gray,Gray,12000,260
2007,Toyota,Tacoma,TRD Sport,Truck,Not Specified,Not Specified,Good,Very Good,4-Wheel Drive,Not Specified,Not Specified,Automatic,4.0L,6,Gasoline,4,Not Specified,163000,5TELU42N97Z353090,Clean Title,Silver,Gray,14900,339
2004,Toyota,4Runner,SR5,Sport Utility,Not Specified,Not Specified,Very Good,Good,4-Wheel Drive,Not Specified,Not Specified,Automatic,4.0L,6,Gasoline,4,5,242000,JTEBU14R340041218,Clean Title,Tan,Tan,14000,259
1999,Toyota,RAV4,Special Edition,Sport Utility,Not Specified,Not Specified,Good,Very Good,AWD,Not Specified,Not Specified,Manual,2.0L,4,Gasoline,4,5,276000,JT3HP10V0X7138174,Clean Title,Black,Blue,3500,248
2002,Toyota,Tundra,SR5 V8,Truck,Extended Cab,Standard Shortbed,Excellent,Very Good,RWD,Not Specified,Not Specified,Automatic,4.7L,8,Gasoline,4,6,236000,5TBRT34112S261309,Clean Title,White,Gray,6999,1943
2005,Toyota,Tacoma,SR5,Truck,Not Specified,Not Specified,Good,Good,2-Wheel Drive,Not Specified,Not Specified,Manual,4.0L,4,Gasoline,2,Not Specified,158243,5TENX22N45Z053183,Clean Title,Silver,Gray,10800,1055
1995,Toyota,4Runner,Not Specified,SUV,Not Specified,Not Specified,Not Specified,Not Specified,4-Wheel Drive,Not Specified,Not Specified,Automatic,Not Specified,6,Gasoline,4,Not Specified,184000,JT3VN39W5S0203506,Clean Title,Not Specified,Not Specified,4000,1405
2017,Toyota,Prius,Not Specified,Hatchback,Not Specified,Not Specified,Very Good,Very Good,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Hybrid,Not Specified,Not Specified,175500,JTDKBRFU5H3567297,Salvage Title,Red,Gray,10500,58
2002,Toyota,MR2 Spyder,Base,Convertible,Not Specified,Not Specified,Good,Good,RWD,Not Specified,Not Specified,Automanual,1.8L,4,Gasoline,2,2,94472,JTDFR320120050505,Clean Title,Black,Black,8500,494
2021,Toyota,Tacoma,TRD Sport,Truck,Crew Cab,Shortbed,Excellent,Excellent,4-Wheel Drive,Not Specified,Not Specified,Not Specified,3.5L,6,Gasoline,4,5,46100,3TMCZ5AN9MM405254,Clean Title,Gray,Gray,36500,240
2000,Toyota,Camry,Not Specified,Sedan,Not Specified,Not Specified,Good,Good,FWD,Not Specified,Not Specified,Automatic,Not Specified,4,Gasoline,4,Not Specified,96000,JT2BG28KXY0391815,Clean Title,White,Beige,4000,561
2009,Toyota,Corolla,S,Sedan,Not Specified,Not Specified,Good,Good,FWD,Not Specified,Not Specified,Automatic,1.8L,4,Gasoline,4,Not Specified,135500,1NXBU40E69Z121147,Rebuilt/Reconstructed Title,Blue,Black,6500,181
1988,Toyota,Land Cruiser,Not Specified,SUV,Not Specified,Not Specified,Very Good,Very Good,4-Wheel Drive,Not Specified,Not Specified,Automatic,4.0L,6,Gasoline,4,Not Specified,167400,JT3fJ62G8J0075412,Rebuilt/Reconstructed Title,Gray,Gray,19000,3547
2006,Toyota,Sequoia,SR5,SUV,Not Specified,Not Specified,Good,Very Good,4-Wheel Drive,Not Specified,Not Specified,Not Specified,4.7L,8,Gasoline,4,8,250000,5TDBT44A06S274203,Clean Title,Gold,Tan,5500,144
2017,Toyota,Tundra,SR5,Truck,Crew Cab,Shortbed,Excellent,Excellent,4-Wheel Drive,Not Specified,Not Specified,Not Specified,4.6L,8,Gasoline,4,6,311731,5TFDM5F1XHX073088,Clean Title,White,Gray,26900,97
2007,Toyota,Camry,LE,Sedan,Not Specified,Not Specified,Excellent,Excellent,FWD,Not Specified,Not Specified,Automatic,2.4L,4,Gasoline,4,5,135000,4T1BE46K17U546038,Salvage Title,White,Gray,6000,196
2022,Toyota,RAV4,Not Specified,SUV,Not Specified,Not Specified,Very Good,Very Good,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,30088,2T3F1RFVXNC296535,Clean Title,Silver,Black,27500,83
2012,Toyota,Tacoma,V6,Truck,Crew Cab,Shortbed,Not Specified,Not Specified,4-Wheel Drive,Not Specified,Not Specified,Not Specified,4.0L,6,Gasoline,4,5,159000,3TMLU4EN4CM088338,Clean Title,Not Specified,Not Specified,20500,219
2018,Toyota,Tundra,Limited,Truck,Crew Cab,Shortbed,Excellent,Excellent,4-Wheel Drive,Not Specified,Not Specified,Automatic,5.7L,8,Gasoline,4,5,32400,5TFHY5F14JX724257,Clean Title,White,Black,49000,168
2021,Toyota,Tacoma,TRD Off Road,Truck,Not Specified,Not Specified,Excellent,Excellent,4-Wheel Drive,Not Specified,Not Specified,Automanual,3.5L,6,Gasoline,4,Not Specified,32000,3TMCZ5AN0MM393608,Rebuilt/Reconstructed Title,White,Gray,42500,2011
2012,Toyota,Corolla,LE,Sedan,Not Specified,Not Specified,Very Good,Excellent,FWD,Not Specified,Not Specified,Automatic,1.8L,4,Gasoline,4,5,164000,JTDBU4EE2C9174516,Clean Title,White,Gray,8999,137
